model,horizon_h,MAE,RMSE,R2,PI90_Coverage
ARIMA,3,8.746809564577498,14.284574406942394,0.8036276562847123,
ARIMA,6,13.518577314867679,20.656209398134113,0.5893664199934221,
ARIMA,12,18.204059701562958,26.348464599328132,0.3318962210785872,
BiLSTM-Hybrid,3,5.780115559890609,7.826426421450156,0.9410515044657722,
BiLSTM-Hybrid,6,6.864052694302983,10.040539337978517,0.9029786551210948,
BiLSTM-Hybrid,12,11.886327027725311,16.25374280738849,0.7457622305786458,
DiffSTG,3,10.194856643676758,15.37269240019,0.7725711464881897,0.5851042502004812
DiffSTG,6,16.32390594482422,22.433001649094603,0.515684962272644,0.5473135525260625
DiffSTG,12,22.120397567749023,28.7029920978823,0.20715612173080444,0.57528067361668
